nn,unique_id,reg,urban_rural,oblast,"smd
",locality_type,description_boundaries,200_character_description,number_voters,electoral_id
2,7925,WEST,rural,Zakarpattia Oblast,71,7,"с.Приборжавське – вул.Борканюка, вул.Гагаріна, вул.Грушевського, вул.Дружна, вул.Зелена, вул.Івана Франка, вул.Лаборця, вул.Мала, вул.Молодіжна, вул.Острянська, вул.Партизанська, вул.Перемоги, вул.Першотравнева, вул.Потічкова, вул.Садова, вул.Сонячна, вул.Тиха, вул.Центральна: 100–258;","с.Приборжавське – вул.Борканюка, вул.Гагаріна, вул.Грушевського, вул.Дружна, вул.Зелена, вул.Івана Франка, вул.Лаборця, вул.Мала, вул.Молодіжна, вул.Острянська, вул.Партизанська, вул.Перемоги, вул.Пер",1640,480278
2,3205,EAST,rural,Dnipropetrovsk oblast,29,7,"с.Сурсько-Литовське – вул.Аптечна, вул.Березова, вул.Білоруська, вул.Енергетична, вул.Задунайська, вул.Зарічна, вул.Ізвіліста, вул.Калинова, вул.Кооперативна, вул.Космічна, вул.Крилова, вул.Лесі Українки, вул.Михайла Коцюбинського, вул.Молодіжна, вул.Мостова, вул.Некрасова, вул.Паркова, вул.Польова, вул.Решетнікова, вул.Садова, вул.Слобідська, вул.Сонячна, вул.Станціонна, вул.Центральна, вул.Шевченко, вул.50 років Перемоги, пров.Аптечний, пров.Білоруський, пров.Желєзнодорожний, пров.Некрасова, пров.Парковий, пров.Польовий, пров.Сонячний, пров.Центральний, пров.Шевченко, садове товариство ’Геолог’, станція Сурське","с.Сурсько-Литовське – вул.Аптечна, вул.Березова, вул.Білоруська, вул.Енергетична, вул.Задунайська, вул.Зарічна, вул.Ізвіліста, вул.Калинова, вул.Кооперативна, вул.Космічна, вул.Крилова, вул.Лесі Украї",2221,480278
5,2500,WEST,urban,Volyn Oblast ,22,1,"м.Луцьк – вул.Кравчука: 16, 20; просп.Соборності: 20–20А, 22–22А, 24–24А, 26;",,2355,71086
6,3209,EAST,rural,Dnipropetrovsk oblast,29,7,"с-ще Шевченко, с.Пашена Балка",,996,120126
8,30134,North and Center,urban,the City of Kyiv,221,1,"м.Київ – вул.Володимира Брожка: 120, 122, 124, 126, 128, 130, 136, 138; вул.Добросусідська, вул.Заповітна, вул.Згурівська, вул.Каменярів, вул.Колоскова, вул.Кринична, вул.Кругла, вул.Крутогірна, вул.Луганська, вул.Мостова, вул.Охтирська, вул.Похила, вул.Пржевальського, вул.Рибна, вул.Сигнальна, вул.Словечанська, вул.Сумська, вул.Федьковича, вул.Червона, вул.Яблунева, вул.Ясна, пров.Добросусідський, пров.Заповітний, пров.Каменярів, пров.Мостовий, пров.Рибний, пров.Федьковича, пров.Червоний, пров.Яблуневий, пров.Ясний, просп.Лобановського Валерія: 73, 75, 77, 79, 81, 83, 84, 85, 87, 88, 90, 91, 93, 95, 96, 97, 98, 99, 100, 102, 112;","м.Київ – вул.Володимира Брожка: 120, 122, 124, 126, 128, 130, 136, 138; вул.Добросусідська, вул.Заповітна, вул.Згурівська, вул.Каменярів, вул.Колоскова, вул.Кринична, вул.Кругла, вул.Крутогірна, вул.Л",2270,180008
10,13692,WEST,urban,Lviv Oblast,116,1,"м.Львів – вул.Барбарисова, вул.Брюховицька: 2–19А, 21–21А, 23, 25, 27, 29, 31, 33, 39–39А, 43–43А, 45; вул.Вершницька, вул.Винниця: 43–43А, 108–146; вул.Горобинна, вул.Диктова, вул.Досвітня, вул.Запашна, вул.Ковалика І., проф., вул.Кооперативно-садівниче товариство “Автобусник”, вул.Лучкая М., вул.«Львівприлад» обслуговуючий кооператив, вул.«Львівський залізничник-Південний» садівничий кооператив, вул.Парова, вул.Прихильна, вул.“Райдуга” кооперативно-садівниче товариство, вул.Розсадна, вул.Садівничий кооператив “Кооператор”, вул.Світла, вул.Тіниста, вул.Фещенка-Чопівського І., вул.Холодна, вул.Чикаленка Є., вул.Чугайстра, вул.Шевченка Т.: 139, 141, 145, 161, 163, 171, 173, 175, 177, 177А, 179, 181, 181А, 181Г, 183, 187, 187А, 189, 191, 193, 195, 195Б, 197, 199, 200, 200/3, 203, 207, 209, 209А, 211, 213, 215, 217, 219, 221, 225, 227, 229, 230, 231, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243А, 244, 244А, 245, 246, 246А, 246Б, 247, 248, 250, 252, 253, 254, 255, 256, 258, 259, 259А, 261, 262, 263, 264, 267, 268, 269, 271, 271А, 272, 273, 274, 275, 276, 277, 278, 279, 279А, 281, 281А, 283, 283А, 284, 284А, 285, 285А, 287, 289, 289А, 290, 290А, 291, 292, 293, 295, 296, 297, 297А, 297Б, 297Г, 298, 298А, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 310, 312, 314, 316, 316А, 318А, 318Б, 320 ос, 322 ос, 324, 326, 328, 328А, 330, 334 ос, 336, 338 ос, 358, 360, 374; «Львівський залізничник» кооперативно-садівниче товариство, урочище Клепарів","м.Львів – вул.Барбарисова, вул.Брюховицька: 2–19А, 21–21А, 23, 25, 27, 29, 31, 33, 39–39А, 43–43А, 45; вул.Вершницька, вул.Винниця: 43–43А, 108–146; вул.Горобинна, вул.Диктова, вул.Досвітня, вул.Запаш",2346,180008
10,24316,SOUTH,rural,Kherson Oblast,183,7,с.Широка Балка,,1718,350204
11,3253,EAST,urban,Dnipropetrovsk oblast,29,1,"м.Дніпро – вул.Бєляєва: 8, 12; шосе Донецьке: 2, 3, 7, 9;",,2238,121056
12,24318,SOUTH,rural,Kherson Oblast,183,7,с.Правдине,,1112,650062
13,3216,EAST,rural,Dnipropetrovsk oblast,29,7,"с.Виноградне, с.Маївка",,458,120133
13,3255,EAST,urban,Dnipropetrovsk oblast,29,1,"м.Дніпро – вул.Бєляєва: 4; вул.Висоцького: 2, 4; шосе Донецьке: 1;",,2266,121058
19,3222,EAST,rural,Dnipropetrovsk oblast,29,7,"с.Миколаївка – вул.Василівська, вул.Дружби, вул.ім.Юліана Гунька, вул.Київська, вул.Криворізька: 2, 4, 6, 7–8, 9, 11, 13–14, 15, 16; вул.Львівська, вул.Нагірна, вул.Першотравнева, вул.Підгірна, вул.Портова, вул.Садова: 1, 3, 7–11, 13, 15, 17; вул.Степова, вул.Тиха, вул.Центральна: 1, 3, 4, 5, 7–8, 9, 11, 11А, 12, 13, 14, 15, 16, 17, 18, 20–21, 22, 25, 26–26А, 27, 28, 30, 30А, 31, 32, 33, 34–36, 41–43, 44, 45–46, 47, 48–49, 50, 51–53, 54, 55, 56, 57–59, 61, 62–63, 64–66, 67, 68–68А, 69, 71, 73, 75, 76–78, 80, 81, 82, 83, 85, 86, 88, 89–90, 93–95, 96–97, 98, 99, 102, 103–104, 110, 111, 112, 117, 118, 120, 122, 123–129, 130, 134–135, 136, 139, 140, 142–143, 145–146, 150, 150А–151, 152–154, 156, 157, 159, 160, 162, 166, 168, 169, 170, 171, 173–174, 176–178, 179, 181–182, 183–185, 186, 187, 188А, 190, 192–195, 197, 198–201, 203, 204–206, 206А, 209–326; вул.Шкільна, вул.Янтарна, пров.Дачний, пров.Річний, пров.Сонячний","с.Миколаївка – вул.Василівська, вул.Дружби, вул.ім.Юліана Гунька, вул.Київська, вул.Криворізька: 2, 4, 6, 7–8, 9, 11, 13–14, 15, 16; вул.Львівська, вул.Нагірна, вул.Першотравнева, вул.Підгірна, вул.По",845,480266
19,24325,SOUTH,rural,Kherson Oblast,183,7,с.Микільське,,1912,650070
20,3223,EAST,rural,Dnipropetrovsk oblast,29,7,с.Новотаромське,,414,120140
