nn,unique_id,reg,urban_rural,oblast,"smd
",locality_type,description_boundaries,200_character_description,number_voters,electoral_id
147,2483,WEST,urban,Volyn Oblast ,22,1,"м.Луцьк – вул.Борохівська, вул.Запорізька, вул.Козацька, вул.Липинська, вул.Мисливська, вул.Народних Дружинників, вул.Писаревського, вул.Підгаєцька, вул.Ревуцького, вул.Смєлякова, вул.Теремнівська: 1–69, 71–101;","м.Луцьк – вул.Борохівська, вул.Запорізька, вул.Козацька, вул.Липинська, вул.Мисливська, вул.Народних Дружинників, вул.Писаревського, вул.Підгаєцька, вул.Ревуцького, вул.Смєлякова, вул.Теремнівська: 1–",2303,180008
147,24735,SOUTH,rural,Kherson Oblast,185,7,с.Нижні Торгаї,,858,650390
149,24737,SOUTH,rural,Kherson Oblast,185,7,с-ще Сірогози,,515,650392
150,24121,EAST,rural,Kharkiv Oblast,181,7,"с.Велика Гомільша, с.Западня",,295,630420
153,13691,WEST,urban,Lviv Oblast,116,1,"м.Львів – вул.Загірна, вул.Мідна, вул.Мурована, вул.Нагірна, вул.Розточчя: 1–34, 35А–36, 40, 42–42А, 44, 46А–154; вул.Хмельницького Б.: 271, 273, 275, 275А, 289;",,2064,462129
154,24125,EAST,rural,Kharkiv Oblast,181,7,"с.Дачне, с.Курортне, с.Українське",,473,630424
155,9813,WEST,urban,Ivano-Frankivsk Oblast,85,3,"м.Калуш – вул.Біласа і Данилишина: 10, 12, 14; вул.Кірова, вул.Олени Пчілки, вул.Павлика, вул.Тіниста, просп.Лесі Українки: 6–8, 12–12А, 14, 24–60, 90–102;",,2173,260973
155,24126,EAST,rural,Kharkiv Oblast,181,7,"с.Задонецьке, с.Камплиця, с.Коропове, с.Омельченки",,655,630425
158,9749,WEST,rural,Ivano-Frankivsk Oblast,85,7,"с.Григорів, с-ще Григорівська Слобода",,297,260563
160,29686,North and Center,urban,the City of Kyiv,215,1,"м.Київ – вул.Кубанської України: 22–24, 28;",,1232,801072
160,24131,EAST,rural,Kharkiv Oblast,181,7,с.Черкаський Бишкин,,353,630430
161,24132,EAST,rural,Kharkiv Oblast,181,7,"с.Скрипаї, с-ще Лісне, с.Мохнач",,983,630431
161,22864,EAST,urban,Kharkiv Oblast,171,1,"м.Харків – шосе Салтівське: 256, 258, 260А;",,1867,631637
162,16649,SOUTH,urban,Odesa Oblast,133,1,"м.Одеса – вул.Академіка Вільямса: 70, 72–72 к.1, 74–74 к.1, 76А–76В; вул.Ільфа і Петрова: 35А–39;",,2212,511128
163,15646,WEST,urban,Lviv Oblast,126,3,"м.Стрий – вул.Грабця, вул.Добрівлянська: 41А–72Б; вул.Донцова, вул.Січових Стрільців: 31; вул.Стефаника, вул.Стефаника (залізнична будка), вул.Федьковича",,1569,461786
165,9815,WEST,urban,Ivano-Frankivsk Oblast,85,3,"м.Калуш – вул.Бобинського, вул.Вітовського, вул.Євшана: 4, 6–26; вул.Пушкіна: 2, 4, 6, 8, 27–31; пров.Шкільний, просп.Лесі Українки: 3, 5;",,2212,260975
166,24137,EAST,rural,Kharkiv Oblast,181,7,"с.Тимченки, с.Колісники, с.Миргороди, с.Сидори",,805,630436
166,16814,SOUTH,urban,Odesa Oblast,135,1,"м.Одеса – вул.Велика Арнаутська: 21, 23–23Б, 25, 27; вул.В’ячеслава Чорновола, вул.Канатна: 60–68; вул.Леонтовича: 8–12; вул.Мала Арнаутська: 1–30; вул.Пантелеймонівська: 10–14, 16–22; пров.Канатний",,2173,511291
168,15647,WEST,urban,Lviv Oblast,126,3,"м.Стрий – вул.Січових Стрільців: 8А–8Б, 10–10Б, 12–12А;",,1222,461787
168,22876,EAST,urban,Kharkiv Oblast,171,1,"м.Харків – в’їзд Кулиничівський, вул.Берзиня, вул.Бражниківська, вул.Вербицька, вул.Волошкова, вул.Горяївська, вул.Даниленка, вул.Дібровна, вул.Крамаренківська, вул.Краснокутська, вул.Кулиничівська, вул.Лаврика, вул.Марфінська, вул.Наукова, вул.Серебряківська, вул.Сіверська, вул.Сьомої Гвардійської Армії, вул.Тваринників, вул.Ткачівська, вул.Українська п’ята, пров.Горяївський, пров.Кулиничівський, пров.Прогінний, пров.Серебряківський","м.Харків – в’їзд Кулиничівський, вул.Берзиня, вул.Бражниківська, вул.Вербицька, вул.Волошкова, вул.Горяївська, вул.Даниленка, вул.Дібровна, вул.Крамаренківська, вул.Краснокутська, вул.Кулиничівська, в",996,480866
170,22878,EAST,urban,Kharkiv Oblast,171,1,м.Харків – вул.Біблика: 4 к.1–4 к.3; вул.Миру: 3; просп.Московський: 264;,м.Харків – вул.Біблика: 4 к.1–4 к.3; вул.Миру: 3; просп.Московський: 264;,313,480866
171,14538,WEST,urban,Lviv Oblast,121,3,"м.Дрогобич – вул.Володимира Великого: 11; вул.Є.Коновальця: 3–7 к.1, 9, 13;",,1311,461713
172,24154,EAST,rural,Kharkiv Oblast,181,7,с-ще Селекційне,,1160,630789
173,11606,North and Center,urban,Kyiv Oblast,97,2,"м.Бровари – вул.Грушевського Михайла: 7–15Б, 19, 23–27;",,2409,321225
174,24180,EAST,rural,Kharkiv Oblast,181,7,"с.Котляри, с.Мовчани",,1871,630828
179,15649,WEST,urban,Lviv Oblast,126,3,"м.Стрий – вул.Андрія Корчака, вул.Героїв Небесної Сотні, вул.Гоголя, вул.Гонти, вул.Залізняка, вул.Зелена, вул.Кравецька, вул.Мазепи, вул.Міхновського, вул.Папи Івана Павла ІІ, вул.Поштова, вул.Торговиця, вул.Ю.Липи",,1308,461789
180,9803,WEST,urban,Ivano-Frankivsk Oblast,85,3,"м.Калуш – вул.Грушевського, вул.Рубчака",,1829,260963
180,24186,EAST,rural,Kharkiv Oblast,181,7,с.Ржавець,,282,630847
181,3812,EAST,urban,Dnipropetrovsk oblast,35,2,"м.Нікополь – вул.Бориса Мозолевського: 15, 17, 19, 21, 23, 30, 32, 34–36, 38, 40, 42–44Б, 46–46Б; вул.Волинська, вул.Героїв Чорнобиля: 23; вул.Каштанова: 15–42, 44, 46, 48–50, 52, 54, 56; вул.Класична: 1–12, 14, 16–18А, 20, 24–26; вул.Олександра Сухорукова, вул.Павла Загребельного, вул.Пилипа Орлика: 1–11, 13, 15, 17, 19, 21, 23, 27, 29, 31, 33, 35, 37–37А, 39, 41, 43, 45–47, 49, 51–53, 59Г; вул.Світла: 1, 3, 5, 7–7А, 9–9А, 11, 13, 23; вул.50 років НЗФ: 4, 6, 8, 10, 12–14, 16, 18–18А, 20, 31, 33–33А, 35, 37, 39; просп.Трубників: 26–31А;","м.Нікополь – вул.Бориса Мозолевського: 15, 17, 19, 21, 23, 30, 32, 34–36, 38, 40, 42–44Б, 46–46Б; вул.Волинська, вул.Героїв Чорнобиля: 23; вул.Каштанова: 15–42, 44, 46, 48–50, 52, 54, 56; вул.Класична",2112,180008
183,24195,EAST,rural,Kharkiv Oblast,181,7,"с-ще Докучаєвське – вул.Південна, вул.Роганка, вул.Університетська, вул.учбове містечко ХНАУ: Гурт.1, Гурт.2, Гурт.3, Гурт.4, Гурт.5;",,967,630868
184,9775,WEST,rural,Ivano-Frankivsk Oblast,85,7,с.Руда,,327,460380
184,24197,EAST,rural,Kharkiv Oblast,181,7,"с.Верхня Озеряна, с.Нижня Озеряна",,248,630870
187,11613,North and Center,urban,Kyiv Oblast,97,2,м.Бровари – вул.Гагаріна: 1–7; вул.Київська: 294–298А;,,1933,321232
188,3819,EAST,urban,Dnipropetrovsk oblast,35,2,"м.Нікополь – вул.Бориса Мозолевського: 2–14, 16, 18, 20, 22, 24, 26; вул.Василя Стуса, вул.Ізмаїльська, вул.Каштанова: 43, 45, 47; вул.Раїси Кириченко, вул.Сімферопольська, вул.Станіславського: 4–16; вул.50 років НЗФ: 1, 3–3А, 5, 7, 9, 11, 15, 17–17А, 19, 21–21/4, 23, 25–25А; просп.Трубників: 8, 10–12Б, 20–20А, 22, 24–24/1;","м.Нікополь – вул.Бориса Мозолевського: 2–14, 16, 18, 20, 22, 24, 26; вул.Василя Стуса, вул.Ізмаїльська, вул.Каштанова: 43, 45, 47; вул.Раїси Кириченко, вул.Сімферопольська, вул.Станіславського: 4–16; ",1777,180008
189,11632,North and Center,urban,Kyiv Oblast,97,2,"м.Бровари – вул.Бандери Степана: 1–43; вул.Гагаріна: 27–29; вул.Глинки, вул.Гончаренка Аверкія, вул.Дніпровська, вул.Кооперативна, вул.Мирного Панаса, вул.Сушка Романа, вул.Фонтене-су-Буа, вул.Холодноярська, пров.Глинки, пров.Сушка Романа",,2083,321251
191,9820,WEST,urban,Ivano-Frankivsk Oblast,85,3,"м.Калуш – вул.Богдана Хмельницького: 34–36, 38, 40, 42, 46, 48; вул.Січових Стрільців: 34–34А; вул.Стуса: 1–3, 5–9;",,2377,260980
191,3822,EAST,urban,Dnipropetrovsk oblast,35,2,"м.Нікополь – вул.Електрометалургів: 29, 31, 33–33А; вул.Каштанова: 1–14, 101; вул.Світла: 2–2Г, 4, 6, 8–8В, 10–10Б, 12, 14–22, 24–42;",,1115,120757
193,16631,SOUTH,urban,Odesa Oblast,133,1,"м.Одеса – просп.Академіка Глушка: 5–5В, 7, 9, 11, 11А–11Е;",,2002,511110
195,3826,EAST,urban,Dnipropetrovsk oblast,35,2,"м.Нікополь – вул.Гайдамацька: 53, 55, 57, 59, 61, 63, 65, 67, 69, 71, 73, 75, 77, 79–92; вул.Герцена, вул.Журавлина: 102–106/2; вул.Лугова: 79, 81, 83–139; вул.Магнітогорська: 62, 64, 66, 68–119; вул.Можайського: 86, 88, 90, 92, 94, 96–157; вул.Передовиків: 82–127; вул.Північна: 88–122, 124, 126, 128, 130, 132, 134, 138–142; вул.Полярна: 85, 87, 89, 91, 93, 95, 97, 99, 101, 103, 105, 107, 109–121; вул.Святительська: 109; вул.Степова: 81, 83, 85, 87–142, 144, 146, 148; вул.Харківська: 50–72; вул.Чумацька: 82, 84, 86–143, 145, 147–147А;","м.Нікополь – вул.Гайдамацька: 53, 55, 57, 59, 61, 63, 65, 67, 69, 71, 73, 75, 77, 79–92; вул.Герцена, вул.Журавлина: 102–106/2; вул.Лугова: 79, 81, 83–139; вул.Магнітогорська: 62, 64, 66, 68–119; вул.",852,180008
196,16968,SOUTH,rural,Odesa Oblast,137,7,с.Борсуки,,296,510083
203,11637,North and Center,urban,Kyiv Oblast,97,2,"м.Бровари – вул.Базова, вул.Броварської сотні, вул.Виробнича, вул.Володимира Великого: 1А, 3–3Б, 5–35/1; вул.Гельсінської групи, вул.Конощенка Володимира, вул.Красилівська, вул.Лермонтова: 21–54; вул.Мазепи Івана, вул.Міхновського Миколи, вул.Олександровича Митрофана, вул.Онікієнка Олега: 76–242; вул.Павлова, вул.Ружного Михайла, пров.Виробничий","м.Бровари – вул.Базова, вул.Броварської сотні, вул.Виробнича, вул.Володимира Великого: 1А, 3–3Б, 5–35/1; вул.Гельсінської групи, вул.Конощенка Володимира, вул.Красилівська, вул.Лермонтова: 21–54; вул.",1911,321256
204,9808,WEST,urban,Ivano-Frankivsk Oblast,85,3,"м.Калуш – вул.Банянська, вул.Белея, вул.Братів Фільчинських, вул.Виговського, вул.Глінки, вул.Грабовського, вул.Калнишевського, вул.Кривоноса, вул.Лепкого, вул.Людкевича, вул.майдан Шептицького: 3–4; вул.Миколи Климишина, вул.Петрушевича, вул.Робітнича, вул.Руська, вул.Срібняка, вул.Стефаника, вул.Фабрична, вул.Чорновола","м.Калуш – вул.Банянська, вул.Белея, вул.Братів Фільчинських, вул.Виговського, вул.Глінки, вул.Грабовського, вул.Калнишевського, вул.Кривоноса, вул.Лепкого, вул.Людкевича, вул.майдан Шептицького: 3–4; ",1465,180008
205,3836,EAST,urban,Dnipropetrovsk oblast,35,2,"м.Нікополь – вул.Ватутіна: 1, 3, 5–5А; вул.Миру, вул.Мічуріна, вул.Некрасова: 1–12, 14, 16, 18, 20, 29, 31–31Б, 33–33Г, 35, 39; вул.Патріотів України: 142А–144Б, 151А–151Б, 153А, 155, 157, 159–161А, 163–163Б; вул.Піддубного: 2–22, 58–58/3, 60–60А; вул.Черняхівського: 1–47; пров.Красний, пров.Ранковий","м.Нікополь – вул.Ватутіна: 1, 3, 5–5А; вул.Миру, вул.Мічуріна, вул.Некрасова: 1–12, 14, 16, 18, 20, 29, 31–31Б, 33–33Г, 35, 39; вул.Патріотів України: 142А–144Б, 151А–151Б, 153А, 155, 157, 159–161А, 1",1364,180008
206,6304,North and Center,urban,Zhytomyr Oblast,63,3,м.Бердичів – пров.Перемоги: 4;,,175,181259
206,24403,SOUTH,urban,Kherson Oblast,183,1,Комунальний заклад Херсонської обласної ради «Обласний кардіологічний диспансер»,Комунальний заклад Херсонської обласної ради «Обласний кардіологічний диспансер»,59,
207,16612,SOUTH,urban,Odesa Oblast,133,1,"м.Одеса – вул.Васнецова, вул.Вертелецького: 21–21А, 23–25А, 27, 29, 31–111; вул.Глазунова, вул.Дмитрія Донського: 36, 38–38 к.40, 42, 44, 46–48, 50–50А, 52–52А, 54, 56, 60, 62–115; вул.Донцова Дмитра, вул.Жаботинського: 37–81; вул.Китобійна: 37, 39, 41, 43, 45–110; вул.Лінійна, вул.Олександра Невського: 3–9А, 28А–34А, 35 к.1–36, 38, 39А–40, 42–42Б, 44–44В, 46, 48–48А, 50–50А, 52–52 к.2, 55–56А, 58–80Б; вул.Планетна: 32–101А; вул.Рожева, вул.Уральська, вул.1-а Лінія 4-ї ст. Люстдорфської дороги, пров.Авіаторів, пров.Васнецова 2-й, пров.Глазунова 1-й, пров.Глазунова 2-й, пров.Південний, пров.Теліги Олени, пров.Тупіковий 1-й, пров.Тупіковий 2-й, пров.Уральський, Люстдорфська дорога: 55, 57, 57А, 63, 65, 65А, 71, 72А, 73, 75, 77, 81, 81А, 83, 84, 85, 87, 89Б, 91, 92, 93, 94, 95, 95А, 97, 97А, 99, 100А, 101, 102, 102Б, 103, 103Б, 105, 107, 109, 111, 113, 115, 115А, 116, 116А, 117, 118, 120, 120А, 122, 124, 126, 128, 130, 130А, 130Б, 132, 132А, 134, 136, 138, 138А, 140;","м.Одеса – вул.Васнецова, вул.Вертелецького: 21–21А, 23–25А, 27, 29, 31–111; вул.Глазунова, вул.Дмитрія Донського: 36, 38–38 к.40, 42, 44, 46–48, 50–50А, 52–52А, 54, 56, 60, 62–115; вул.Донцова Дмитра,",2480,180008
208,15655,WEST,urban,Lviv Oblast,126,3,"м.Стрий – вул.Вокзальна: 2–114; вул.Вузька, вул.Довбуша, вул.Кармелюка, вул.Коперніка, вул.Крушельницької, вул.Нестора Літописця, вул.О.Степанівни, вул.Руська, вул.Франка, вул.Шептицького, вул.Шумлявщина, пров.О.Степанівни, просп.Чорновола",,2022,461795
210,14436,WEST,rural,Lviv Oblast,121,7,"с.Биків, с.Глинне",,200,460224
210,16670,SOUTH,urban,Odesa Oblast,133,1,"м.Одеса – вул.Академіка Філатова: 9, 11, 13А; вул.Варненська: 2 к.3; вул.Героїв Крут: 6, 8, 8А, 8Б, 10, 10А, 12, 14, 14А, 16; вул.Космонавтів: 13, 13А, 13Б, 15;",,1832,511149
212,15641,WEST,urban,Lviv Oblast,126,3,"м.Стрий – вул.Коссака: 11Б–15; вул.Січових Стрільців: 6А–6Б, 10В; вул.50-річчя УПА",,1711,461781
214,16986,SOUTH,rural,Odesa Oblast,137,7,"с.Гольма – вул.Авангардна, вул.Безіменна, вул.Гагаріна, вул.Набережна, вул.Ново-Олександрівська, вул.Станіславська, вул.Хмельницького, вул.Червоноармійська 1, вул.Червоноармійська 2, вул.Червоноармійська 3, вул.Червоноармійська 4, вул.Шевченко, пров.Нижній, пров.Степана Олійника, пров.Філатова, пров.Шоніна","с.Гольма – вул.Авангардна, вул.Безіменна, вул.Гагаріна, вул.Набережна, вул.Ново-Олександрівська, вул.Станіславська, вул.Хмельницького, вул.Червоноармійська 1, вул.Червоноармійська 2, вул.Червоноармійс",564,480078
219,12715,North and Center,urban,Kirovohrad Oblast,103,3,"м.Олександрія – вул.Козацька: 4, 6, 8, 10, 12, 14, 18; вул.6-го Грудня: 89, 93; просп.Соборний: 98, 102, 104, 118–126;",,2007,350757
220,29024,North and Center,urban,Chernihiv Oblast,209,3,"м.Ніжин – вул.Батюка, вул.Богуна: 2–78, 80, 82, 84, 86, 88; вул.Богушевича, вул.Братів Галицьких, вул.Гербеля, вул.Глібова, вул.Гоголя, вул.Гребінки, вул.Думська, вул.Маяковського, вул.Овдіївська: 1–98; вул.Озерна, вул.Поштова",,2258,740923
220,9826,WEST,urban,Ivano-Frankivsk Oblast,85,3,"м.Калуш – вул.Богдана Хмельницького: 1–3, 11, 15, 17, 19; вул.Хіміків: 2–18;",,2030,260986
220,16992,SOUTH,rural,Odesa Oblast,137,7,с.Березівка,,201,350186
221,14548,WEST,urban,Lviv Oblast,121,3,"м.Дрогобич – вул.Андрея Шептицького, вул.Героїв Майдану, вул.Григорія Коссака, вул.Григорія Теслі, вул.Івана Сірка: 6–6 к.1, 9 к.А–18; вул.Йосипа Сліпого, вул.Петра Сагайдачного: 35, 37–37 к.А, 39, 41–41 к.2, 43, 45, 49–51, 53–53 к.А, 55–55 к.А, 57, 59–61, 63, 65, 71–73 к.2, 88 к.1–154; вул.Самбірська: 60–60 к.2, 68–72, 74–74 к.3, 106; вул.Т.Реваковича, вул.Юліана Вороновського, пров.В.Ільницького, пров.Самбірський","м.Дрогобич – вул.Андрея Шептицького, вул.Героїв Майдану, вул.Григорія Коссака, вул.Григорія Теслі, вул.Івана Сірка: 6–6 к.1, 9 к.А–18; вул.Йосипа Сліпого, вул.Петра Сагайдачного: 35, 37–37 к.А, 39, 41",2145,180008
223,15658,WEST,urban,Lviv Oblast,126,3,"м.Стрий – вул.Саксаганського, вул.Сидора, вул.Харкова",,1370,461798
223,3854,EAST,urban,Dnipropetrovsk oblast,35,2,"м.Нікополь – вул.Азовського: 2–25, 27–38; вул.Астраханська, вул.Гоголя: 20–53; вул.Добролюбова: 31–31А, 33, 35, 37, 39, 41, 43, 45–47, 49–49/3, 51, 53, 55, 57, 59–61; вул.Єнісейська, вул.Західна, вул.Кольцова: 18–18А, 19А–20, 22, 24–83; вул.Красуцького: 28–28В, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50–115; вул.Лапинська: 363, 365, 367, 371–371А, 373, 375–375А, 377–377А, 512–532; вул.Ломоносова: 13–13А, 15–15А, 17–17А, 19, 21, 23, 25–42; вул.Пирогова: 2, 4, 6, 8, 10–14; вул.П.Осипенко, вул.Різдвяна: 3–72; вул.Сулицька: 27, 29–94; вул.Сумська, вул.Тютчева, вул.Успенського: 54–63А; вул.Учительська: 1–1А, 3–3А, 5–5А, 7–7Б, 9–9А, 11–11А, 13, 15, 19, 21, 27, 46–60; пров.Верхній, пров.Нижній, пров.Річковий, пров.Смоленський, пров.Спартаківський","м.Нікополь – вул.Азовського: 2–25, 27–38; вул.Астраханська, вул.Гоголя: 20–53; вул.Добролюбова: 31–31А, 33, 35, 37, 39, 41, 43, 45–47, 49–49/3, 51, 53, 55, 57, 59–61; вул.Єнісейська, вул.Західна, вул.",1562,180008
228,8893,EAST,urban,Zaporizhia Oblast,80,2,"м.Мелітополь – вул.Вакуленчука: 71, 73, 76, 78–78 к.А, 80, 82, 84, 86, 88–158; вул.Михайла Сидоренка, вул.Садстанції: 1–11, 13–39; просп.Богдана Хмельницького: 64, 66–66 к.А, 68–68 к.А, 81–87;",,2071,230715
229,17001,SOUTH,rural,Odesa Oblast,137,7,с.Сінне,,463,510116
230,14521,WEST,urban,Lviv Oblast,121,4,"м.Борислав – вул.Академіка Богомольця, вул.Буковиця, вул.Б.Хмельницького, вул.Галіберди, вул.Георгія Бойка, вул.Гірна: 35–53; вул.Гонти, вул.Довбуша, вул.Івана Калиновича, вул.Йогана Зега, вул.Коцюбинського, вул.Крушельницької, вул.Лугова: 47–117; вул.Михайла Драгана, вул.Модрицька: 1–27 к.А, 29, 31, 33, 35, 39–41 к.А, 43–43 к.А, 45–51 к.Б, 55 к.А–57 к.А, 61 к.А, 65 к.А; вул.Озерна, вул.П.Полуботка, вул.Романа Дашкевича, вул.Сагайдачного, вул.Трускавецька: 52, 54, 56, 58, 60, 64, 66–66 к.А, 68, 70–143; вул.Тустановицька, пров.Братів Зизаніїв, пров.Вишневий, пров.Сонячний","м.Борислав – вул.Академіка Богомольця, вул.Буковиця, вул.Б.Хмельницького, вул.Галіберди, вул.Георгія Бойка, вул.Гірна: 35–53; вул.Гонти, вул.Довбуша, вул.Івана Калиновича, вул.Йогана Зега, вул.Коцюбин",2086,461696
233,15858,SOUTH,urban,Mykolaiv Oblast,128,1,"м.Миколаїв – вул.Китобоїв: 7; вул.Новозаводська: 4–10; просп.Миру: 62А, 70, 72;",,1388,480849
234,24362,SOUTH,urban,Kherson Oblast,183,1,"м.Херсон – вул.Богородицька: 118, 120, 124, 126, 128; вул.Грецька: 40, 42, 44, 46, 48, 50, 52–54, 56–74; вул.Колодязна: 6, 12, 14А, 16–16А, 20, 22, 24, 26, 28, 30, 32, 34, 38, 40–42, 46, 48, 50, 52, 54, 56, 60; вул.Кузнецька: 1–31, 33, 35, 37, 39; вул.Льва Толстого: 1–15, 17, 21, 23, 25; вул.Михайлівська: 87; вул.Пилипа Орлика: 49, 53, 53А, 56, 57, 59, 60, 61, 62, 63, 64, 64А, 68, 70, 72; вул.Поштова: 9–20, 22; вул.Преображенська: 58, 60, 62, 67, 68, 69, 71, 73, 75, 81; вул.Суворова: 41, 43, 45, 47, 49, 51, 53, 57; вул.Театральна: 56, 58, 59, 60, 62, 66, 68, 70; вул.Ярослава Мудрого: 49, 49А, 49В, 51, 57, 59, 59А; пров.Лікарняний, пров.Попова, пров.Санаторний: 14; пров.Шкільний, узвіз Корабельний: 12; узвіз Кошовий: 3;","м.Херсон – вул.Богородицька: 118, 120, 124, 126, 128; вул.Грецька: 40, 42, 44, 46, 48, 50, 52–54, 56–74; вул.Колодязна: 6, 12, 14А, 16–16А, 20, 22, 24, 26, 28, 30, 32, 34, 38, 40–42, 46, 48, 50, 52, 5",2143,480866
235,8900,EAST,urban,Zaporizhia Oblast,80,2,"м.Мелітополь – вул.Вакуленчука: 1–70, 72, 74, 77, 79, 81, 83, 85, 87; вул.Івана Алексєєва: 9; вул.Садова: 2–21, 23, 25, 27–27 к.А, 29, 31, 33, 35–35 к.А; просп.Богдана Хмельницького: 48, 50–50 к.3, 52, 54–56, 58, 60, 71–77 к.А;",,1642,230722
235,17014,SOUTH,rural,Odesa Oblast,137,7,с.Сергіївка,,137,510452
238,14464,WEST,rural,Lviv Oblast,121,7,с.Медвежа,,563,460252
239,6293,North and Center,urban,Zhytomyr Oblast,63,3,"м.Бердичів – вул.Елінг, вул.Одеська: 38/2, 40/1–41, 49–51А, 53–57А, 59, 61, 63, 67–98; вул.Шевиріна, вул.Шкільна, в/ч А0804",,2111,181248
240,12701,North and Center,urban,Kirovohrad Oblast,103,3,"м.Олександрія – вул.Авіаційна, вул.Березівська, вул.Григорія Сокальського: 1–15, 21, 23, 25, 27; вул.Єфремова, вул.Залізнична, вул.Запорізька, вул.Зарічна: 2–18, 27–41А; вул.Захисників України: 1–39, 41–50; вул.Максима Бендерова: 17, 19, 21–161; вул.Марії Заньковецької, вул.Орловська, вул.Осипенка: 18, 20, 22, 24–121; вул.Пантаївська, вул.Першотравнева: 40, 42–44, 61А–130; вул.Пушкіна, вул.Скіфська: 1, 11–44; вул.Студентська: 47–49, 51–53, 55, 57–59, 61, 63, 67, 69, 73, 75, 77–85; вул.Телевізійна, пров.Герцена, пров.Григорія Грузина, пров.Довженка, пров.Копиленка, пров.Костянтина Заслонова, пров.Краснодонців, пров.Маршала Конєва, пров.Михайла Гризана, пров.Олександра Горського, пров.Транспортний","м.Олександрія – вул.Авіаційна, вул.Березівська, вул.Григорія Сокальського: 1–15, 21, 23, 25, 27; вул.Єфремова, вул.Залізнична, вул.Запорізька, вул.Зарічна: 2–18, 27–41А; вул.Захисників України: 1–39, ",2277,180008
240,16672,SOUTH,urban,Odesa Oblast,133,1,"м.Одеса – вул.Варненська: 7, 7 к.2, 7 к.3, 7 к.4, 7А, 7Б, 7В, 7Г, 9; вул.Генерала Петрова: 2, 2А, 4, 4А, 6, 8, 10; вул.Космонавта Комарова: 4А, 6; Люстдорфська дорога: 55/2 к.3, 55/2 к.4, 55/2 к.5, 55/2 к.6, 55/2 к.7;",,2337,511151
241,12719,North and Center,urban,Kirovohrad Oblast,103,3,"м.Олександрія – вул.6-го Грудня: 137, 139–139А, 141–141А; просп.Соборний: 132–134;",,2253,350761
242,8907,EAST,urban,Zaporizhia Oblast,80,2,"м.Мелітополь – вул.Дмитра Донцова, вул.Інтеркультурна: 1 к.1–34, 36, 38, 40, 42–46, 48, 50, 52, 60, 66–66 к.А, 68; вул.Михайла Грушевського: 1–20; вул.Олександра Невського: 1–37, 39, 41, 43, 45–45 к.5, 49, 51, 53–53 к.А, 55, 57, 59, 61; вул.Покровська: 1–20, 22–24, 26, 28, 32, 36, 38, 40, 42, 44, 46; вул.Староміська, вул.Університетська: 2–33, 36–36 к.9, 38, 41–41 к.А, 44;","м.Мелітополь – вул.Дмитра Донцова, вул.Інтеркультурна: 1 к.1–34, 36, 38, 40, 42–46, 48, 50, 52, 60, 66–66 к.А, 68; вул.Михайла Грушевського: 1–20; вул.Олександра Невського: 1–37, 39, 41, 43, 45–45 к.5",1540,180008
243,29046,North and Center,urban,Chernihiv Oblast,209,3,"м.Ніжин – вул.Богуна: 79, 81, 83, 85, 87, 89–154; вул.Вознесенська, вул.Володимира Івасюка, вул.Володимирська: 1–40А; вул.Гагаріна, вул.Євлашівська, вул.Коцюбинського, вул.Л. Чайкіної, вул.Леоніда Кривця, вул.Лучицького, вул.Овдіївська: 99–144, 145, 147, 149–151, 153, 155, 157, 159, 161, 163, 165, 167, 169, 171, 173, 177–179, 181, 183, 185–185А, 187, 191; вул.О.Кошового, вул.Остерська, вул.Паризької комуни, вул.Пісочна, вул.Попудренка, вул.Пушкіна, вул.Сонячна, вул.Тухачевського, вул.Червоного Хреста, вул.Чернишевського, вул.Юності, вул.Ягідна, вул.15-го Вересня, пров.Весняний, пров.Котляревського, пров.Сквозний, пров.Федора Проценка","м.Ніжин – вул.Богуна: 79, 81, 83, 85, 87, 89–154; вул.Вознесенська, вул.Володимира Івасюка, вул.Володимирська: 1–40А; вул.Гагаріна, вул.Євлашівська, вул.Коцюбинського, вул.Л. Чайкіної, вул.Леоніда Кри",2358,180008
246,14523,WEST,urban,Lviv Oblast,121,4,"м.Борислав – вул.В.Чорновола, вул.Грушевського: 1–12, 14, 16, 18; вул.Данила Галицького, вул.Яворницького, пл.І.Франка: 1, 3;",,915,461698
246,8911,EAST,urban,Zaporizhia Oblast,80,2,"м.Мелітополь – вул.Шмідта: 66; вул.Ярослава Мудрого: 9–10, 15–21;",,2057,230733
